94	13993	23091	13993-23091	226,2	1.770	5.719	12.478	31.683	34.984
95	14041	13493	14041-13493	2230	2.955	8.173	14.520	22.039	29.858
96	14041	15040	14041-15040	2787	6.182	14.068	23.651	40.288	45.336
97	14401	13591	14401-13591	1300	4.359	10.566	18.594	34.299	40.546
98	14401	561479	14401-561479	626	1.254	3.646	7.082	11.346	15.727
99	14401	561485	14401-561485	1517	4.340	9.653	15.285	21.658	27.025
100	14501	13591	14501-13591	285,4	2.489	7.336	15.087	31.460	38.201
101	14501	14601	14501-14601	237,3	2.487	7.407	15.429	32.452	38.234
102	14501	561504	14501-561504	942,2	6.139	12.801	20.520	33.458	38.777
103	14601	13693	14601-13693	282,1	2.992	8.651	16.980	36.938	40.025
104	14601	14501	14601-14501	237,3	2.487	7.407	15.429	32.452	38.234
105	14601	14621	14601-14621	1012	8.101	17.208	25.336	40.924	43.580
106	14601	14702	14601-14702	644	4.744	12.053	21.575	43.477	45.493
107	14621	14601	14621-14601	1012	8.101	17.208	25.336	40.924	43.580
108	14621	14722	14621-14722	605,3	5.001	12.209	19.586	32.458	34.892
109	14621	561504	14621-561504	334,8	3.343	7.604	13.365	21.316	26.193
110	14701	13693	14701-13693	582,7	4.247	10.949	19.241	42.660	43.111
111	14701	13791	14701-13791	453,2	2.837	8.549	17.256	45.326	43.404
112	14701	13891	14701-13891	595,1	3.013	8.564	16.993	45.519	44.007
113	14701	14702	14701-14702	228,8	2.479	7.576	15.145	37.726	38.966
114	14701	561501	14701-561501	984,7	5.351	13.671	25.134	59.792	54.861
115	14702	14601	14702-14601	644	4.744	12.053	21.575	43.477	45.493
116	14702	14701	14702-14701	228,8	2.479	7.576	15.145	37.726	38.966
117	14702	14703	14702-14703	176,3	2.428	7.728	15.391	35.606	38.408
118	14702	14801	14702-14801	436,3	3.387	8.876	16.669	39.877	40.582
119	14703	14702	14703-14702	176,3	2.428	7.728	15.391	35.606	38.408
120	14703	14711	14703-14711	371,5	3.498	10.349	19.108	38.958	42.007
121	14703	14802	14703-14802	448	3.443	9.537	17.955	40.092	41.291
122	14711	14703	14711-14703	371,5	3.498	10.349	19.108	38.958	42.007
123	14711	14722	14711-14722	295,8	3.074	9.330	17.898	34.838	37.268
124	14711	14811	14711-14811	459,3	3.463	9.969	19.094	39.952	41.353
125	14721	14722	14721-14722	333,9	2.857	8.115	14.761	28.595	32.526
126	14721	14921	14721-14921	1059	4.879	10.578	17.499	34.423	37.869
127	14722	14621	14722-14621	605,3	5.001	12.209	19.586	32.458	34.892
128	14722	14711	14722-14711	295,8	3.074	9.330	17.898	34.838	37.268
129	14722	14721	14722-14721	333,9	2.857	8.115	14.761	28.595	32.526
130	14722	14811	14722-14811	495,2	3.384	9.935	18.983	36.808	38.583
131	14801	13891	14801-13891	412,8	2.343	6.838	13.680	37.891	37.605
132	14801	14702	14801-14702	436,3	3.387	8.876	16.669	39.877	40.582
133	14801	14802	14801-14802	172,2	1.905	6.232	12.395	30.735	32.203
134	14801	14901	14801-14901	626,7	3.175	8.337	15.864	40.715	40.298
135	14802	14703	14802-14703	448	3.443	9.537	17.955	40.092	41.291
136	14802	14801	14802-14801	172,2	1.905	6.232	12.395	30.735	32.203
137	14802	14811	14802-14811	466	2.997	8.565	16.436	35.506	36.935
138	14802	14911	14802-14911	610,6	3.121	8.542	16.117	39.870	39.863
139	14811	14711	14811-14711	459,3	3.463	9.969	19.094	39.952	41.353
140	14811	14722	14811-14722	495,2	3.384	9.935	18.983	36.808	38.583
141	14811	14802	14811-14802	466	2.997	8.565	16.436	35.506	36.935
142	14811	14912	14811-14912	606,9	3.035	8.246	16.208	38.660	39.695
143	14911	14912	14911-14912	469,8	2.209	6.323	12.850	33.179	33.945
144	14911	561495	14911-561495	421,5	2.168	6.595	13.263	34.871	36.794
145	14911	14901	14911-14901	162	1.335	4.518	10.043	29.055	29.277
146	14912	14911	14912-14911	469,8	2.209	6.323	12.850	33.179	33.945
147	14912	14922	14912-14922	109,2	1.189	4.236	9.483	25.837	27.215
148	14921	14721	14921-14721	1059	4.879	10.578	17.499	34.423	37.869
149	14921	14922	14921-14922	449,9	2.157	6.215	11.794	27.948	28.504
150	14921	24022	14921-24022	562,2	2.530	7.338	13.046	28.141	27.831
151	14921	24031	14921-24031	600,6	2.656	7.419	12.806	27.822	27.286
152	14921	24041	14921-24041	1121	3.054	7.350	12.813	27.045	27.868
153	14921	865064	14921-865064	1359	2.936	6.840	11.958	24.142	27.803
154	14922	14912	14922-14912	109,2	1.189	4.236	9.483	25.837	27.215
155	14922	14921	14922-14921	449,9	2.157	6.215	11.794	27.948	28.504
156	14922	24021	14922-24021	501,2	2.391	7.032	13.933	32.844	34.139
157	15341	15541	15341-15541	1193	672	1.425	2.426	4.023	4.630
158	15471	561632	15471-561632	923,9	45	165	360	1.021	2.660
159	15471	15542	15471-15542	2124	677	1.567	2.586	4.366	6.494
160	15541	15341	15541-15341	1193	672	1.425	2.426	4.023	4.630
161	15541	865060	15541-865060	2667	11.706	22.626	34.458	45.618	42.664
162	15541	15542	15541-15542	276	712	1.480	2.498	4.109	4.776
163	15541	561633	15541-561633	285	883	1.844	3.020	4.791	5.585
164	15631	15731	15631-15731	525,6	3.863	10.271	19.951	29.397	35.960
165	15631	15741	15631-15741	469,3	3.035	7.515	14.599	22.634	29.759
166	15731	15631	15731-15631	525,6	3.863	10.271	19.951	29.397	35.960
167	15731	15841	15731-15841	683,6	6.673	15.162	25.740	36.461	44.833
168	15731	15931	15731-15931	749,8	8.335	16.334	26.140	36.304	38.295
169	15741	15631	15741-15631	469,3	3.035	7.515	14.599	22.634	29.759
170	15741	15772	15741-15772	1121	7.015	13.731	21.243	30.889	41.104
171	15741	15841	15741-15841	455,4	4.063	10.606	19.101	29.208	38.789
172	15741	15542	15741-15542	981,8	2.813	6.956	12.297	18.562	24.642
173	15772	15741	15772-15741	1121	7.015	13.731	21.243	30.889	41.104
174	15772	15774	15772-15774	414,6	2.907	7.409	12.651	20.394	31.808
175	15772	15861	15772-15861	381,6	2.676	7.977	15.996	25.197	36.046
176	15774	15772	15774-15772	414,6	2.907	7.409	12.651	20.394	31.808
177	15774	15871	15774-15871	293,2	1.948	6.197	12.921	21.990	34.154
178	15841	15731	15841-15731	683,6	6.673	15.162	25.740	36.461	44.833
179	15841	15741	15841-15741	455,4	4.063	10.606	19.101	29.208	38.789
